"","Road_ID","UNIT_ID","Transect_ID","Point_ID","Year","Date","Species_Alpha_Code","Time_Interval","Sighting_angle","Exact_Distance","Distance_category","Flyover2","Sex","Detection_Type","Group.size","Notes","Identity"
"177","KOUG",3,16,1,2019,"18-Jul-2019","CORE",6,"-999","-999",1,"N","U","AV","1","","KOUG-03-16-01-2019"
"178","KOUG",1,17,1,2019,"4-Jun-2019","ATSP",0,"-999","-999",101,"N","U","A","1","","KOUG-01-17-01-2019"
"179","KOUG",1,17,1,2019,"4-Jun-2019","ATSP",1,"-999","-999",1,"N","U","AV","1","","KOUG-01-17-01-2019"
"180","KOUG",1,17,1,2019,"4-Jun-2019","CORE",8,"-999","-999",NA,"Y","U","AV","1","","KOUG-01-17-01-2019"
"181","KOUG",1,17,1,2019,"4-Jun-2019","FOSP",0,"-999","-999",101,"N","U","A","1","","KOUG-01-17-01-2019"
"182","KOUG",1,17,1,2019,"4-Jun-2019","GWFG",4,"-999","-999",NA,"Y","U","AV","1","","KOUG-01-17-01-2019"
"183","KOUG",1,17,1,2019,"4-Jun-2019","NOHA",7,"-999","-999",NA,"Y","M","V","1","","KOUG-01-17-01-2019"
"184","KOUG",1,17,1,2019,"4-Jun-2019","SAVS",0,"-999","-999",1,"N","U","AV","1","","KOUG-01-17-01-2019"
"185","KOUG",1,17,1,2019,"4-Jun-2019","SAVS",2,"-999","-999",1,"N","U","AV","1","","KOUG-01-17-01-2019"
"186","KOUG",1,17,1,2019,"4-Jun-2019","WISN",0,"-999","-999",NA,"Y","U","A","1","","KOUG-01-17-01-2019"
"187","KOUG",4,19,1,2019,"11-May-2019","ATSP",1,"-999","-999",201,"N","U","A","1","","KOUG-04-19-01-2019"
"188","KOUG",4,19,1,2019,"11-May-2019","ATSP",1,"300","80",NA,"N","U","A","1","","KOUG-04-19-01-2019"
"189","KOUG",4,19,1,2019,"11-May-2019","ATSP",2,"360","75",NA,"N","U","A","1","","KOUG-04-19-01-2019"
"190","KOUG",4,19,1,2019,"11-May-2019","CORE",0,"284","-999",NA,"Y","U","A","2","","KOUG-04-19-01-2019"
"191","KOUG",4,19,1,2019,"11-May-2019","CORE",5,"118","48",NA,"N","U","AV","2","","KOUG-04-19-01-2019"
"192","KOUG",4,19,1,2019,"11-May-2019","CORE",6,"59","32",NA,"N","U","AV","1","","KOUG-04-19-01-2019"
"193","KOUG",4,19,1,2019,"11-May-2019","GULL",9,"-999","-999",201,"N","U","A","1","","KOUG-04-19-01-2019"
"194","KOUG",4,19,1,2019,"11-May-2019","SEOW",7,"130","130",NA,"N","U","VA","1","HEARD CALL 1X","KOUG-04-19-01-2019"
"195","KOUG",4,19,1,2019,"11-May-2019","WHIM",6,"-999","-999",201,"N","U","A","1","SORRY NO DIRECTION","KOUG-04-19-01-2019"
"196","KOUG",4,19,1,2019,"11-May-2019","WIPT",4,"240","170",NA,"N","M","AV","2","","KOUG-04-19-01-2019"
"197","COUN",4,19,1,2019,"15-Jun-2019","CORE",6,"-999","-999",NA,"Y","U","A","1","","COUN-04-19-01-2019"
"198","COUN",4,19,1,2019,"15-Jun-2019","FOSP",7,"-999","-999",101,"N","U","A","1","","COUN-04-19-01-2019"
"199","COUN",4,19,1,2019,"15-Jun-2019","GCSP",0,"-999","-999",101,"N","U","A","1","","COUN-04-19-01-2019"
"200","COUN",4,19,1,2019,"15-Jun-2019","GCSP",2,"-999","-999",1,"N","U","A","1","","COUN-04-19-01-2019"
"201","COUN",4,19,1,2019,"15-Jun-2019","GCTH",0,"-999","-999",101,"N","U","A","1","","COUN-04-19-01-2019"
"202","COUN",4,19,1,2019,"15-Jun-2019","GCTH",2,"-999","-999",1,"N","U","A","1","","COUN-04-19-01-2019"
"203","COUN",4,19,1,2019,"15-Jun-2019","SAVS",3,"-999","-999",1,"N","U","A","1","","COUN-04-19-01-2019"
"204","COUN",4,19,1,2019,"15-Jun-2019","SONG",9,"-999","-999",101,"N","U","V","3","","COUN-04-19-01-2019"
