ROAD_ID,UNIT_ID,TRANSECT_ID,POINT_ID,SURVEY_YEAR,SURVEY_DATE,SPECIES_ALPHA_CODE,TIME_INTERVAL,SIGHTING_ANGLE,EXACT_DISTANCE,DISTANCE_CATEGORY,FLYOVER,DISPLAY/USING AREA,SEX,DETECTION_TYPE,GROUP_SIZE,NOTES
KOUG,K4,T28,11,2021,9-May-21,WIPT,2,26,308,NA,N,,M,A,1,
KOUG,K4,T28,11,2021,9-May-21,CORA,2,NA,NA,NA,Y,,U,AV,1,
KOUG,K4,T28,11,2021,9-May-21,FOSP,2,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,CORE,3,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,WCSP,3,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,WIPT,4,243,240,NA,N,,M,A,1,
KOUG,K4,T28,11,2021,9-May-21,WIPT,4,324,261,NA,N,,M,A,1,
KOUG,K4,T28,11,2021,9-May-21,GCSP,8,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,11,2021,9-May-21,PTARM,8,354,380,NA,N,,U,V,1,ALL WHITE- ROCK MALE OR WIPT FEMALE?
KOUG,K4,T28,9,2021,9-May-21,ATSP,0,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,9,2021,9-May-21,ATSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,9,2021,9-May-21,GCSP,0,NA,NA,101,N,,U,A,1,
KOUG,K4,T28,9,2021,9-May-21,FOSP,0,NA,NA,101,N,,U,AV,1,
KOUG,K4,T28,9,2021,9-May-21,CORA,2,90,600,NA,N,,U,V,1,
KOUG,K4,T28,9,2021,9-May-21,WCSP,3,NA,NA,1,N,,U,A,1,
KOUG,K4,T28,9,2021,9-May-21,WISN,3,NA,NA,NA,Y,,U,A,1,
KOUG,K4,T28,9,2021,9-May-21,CORE,4,NA,NA,NA,Y,,U,AV,2,AROUND A NEST? SMALLER CLIFF TO LEFT OF MONTE CRISTO
KOUG,K4,T17,18,2021,10-May-21,ATSP,0,NA,NA,1,N,,U,A,2,
KOUG,K4,T17,18,2021,10-May-21,WIPT,0,128,150,NA,N,,M,A,1,FEMALE POSSIBLY CLUCKING NEARBY?
