"","id","UTM1","UTM2","ELEVATION"
"85","TELL_T4_T14_18",458157,7180916,NA
"86","TELL_T4_T14_19",457093,7180986,NA
"87","TELL_T4_T14_2",461228,7178308,NA
"88","TELL_T4_T14_5",460726,7178949,NA
"89","TELL_T4_T14_7",461296,7179508,NA
"90","TELL_T4_T14_8",460222,7179579,NA
"91","TELL_T4_T14_3",460157,7178384,NA
"92","KOUG_K3_T17_1",498716,7198613,NA
"93","KOUG_K3_T17_2",499271,7199177,NA
"94","KOUG_K3_T17_5",498769,7199813,NA
"95","KOUG_K3_T17_8",498268,7200449,NA
"96","KOUG_K3_T17_11",498833,7201012,NA
"97","KOUG_K3_T17_18",498900,7202168,NA
"98","KOUG_K3_T17_17",499956,7202139,NA
"99","KOUG_K3_T17_13",500456,7201502,NA
"100","KOUG_K3_T17_12",501521,7201442,NA
"101","KOUG_K3_T17_9",500957,7200873,NA
"102","KOUG_K3_T17_6",500397,7200305,NA
"103","KOUG_K3_T17_4",499835,7199744,NA
"104","COUN_C5_T14_28",488104,7159778,NA
"105","COUN_C5_T14_26",487537,7159218,NA
"106","COUN_C5_T14_29",487037,7159845,NA
"107","COUN_C5_T14_27",486466,7159285,NA
"108","COUN_C5_T14_19",486402,7158092,NA
"109","COUN_C5_T14_15",485832,7157534,NA
"110","COUN_C5_T14_10",486337,7156904,NA
"111","COUN_C5_T14_14",486899,7157464,NA
"112","COUN_C5_T14_18",487473,7158025,NA
"113","COUN_C5_T14_22",488037,7158584,NA
"114","COUN_C5_T14_25",488605,7159150,NA
"115","TELL_T3_T19_16",448476,7189370,NA
"116","TELL_T3_T19_15",448970,7188737,NA
"117","TELL_T3_T19_14",448405,7188172,NA
"118","TELL_T3_T19_11",448900,7187542,NA
"119","TELL_T3_T19_8",449402,7186911,NA
"120","TELL_T3_T19_10",449968,7187468,NA
"121","TELL_T3_T19_13",449469,7188103,NA
"122","TELL_T3_T19_17",447974,7190002,NA
"123","TELL_T3_T19_20",447480,7190638,NA
"124","TELL_T3_T19_18",446917,7190087,NA
"125","TELL_T3_T19_21",446413,7190714,NA
"126","TELL_T3_T19_23",446981,7191272,NA
"127","KOUG_K2_T2_2",515626,7216765,NA
"128","KOUG_K2_T2_6",515123,7217397,NA
"129","KOUG_K2_T2_3",514560,7216834,NA
"130","KOUG_K2_T2_7",514062,7217463,NA
"131","KOUG_K2_T2_4",513500,7216903,NA
"132","KOUG_K2_T2_8",512999,7217535,NA
"133","KOUG_K2_T2_11",513558,7218098,NA
"134","KOUG_K2_T2_14",514119,7218667,NA
"135","KOUG_K2_T2_10",514621,7218034,NA
"136","KOUG_K2_T2_13",515182,7218597,NA
"137","KOUG_K2_T2_9",515666,7217972,NA
"138","TELL_T5_T13_9",464759,7164906,NA
